Saṁyutta Nikāya 16.6 ||| Linked Discourses 16.6
1. Kassapavagga ||| 1. Kassapa
Ovādasutta ||| Advice
Rājagahe veḷuvane. ||| Near Rājagaha, in the Bamboo Grove.
Atha kho āyasmā mahākassapo yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinnaṁ kho āyasmantaṁ mahākassapaṁ bhagavā etadavoca: ||| Then Venerable Mahākassapa went up to the Buddha, bowed, and sat down to one side. The Buddha said to him:
“ovada, kassapa, bhikkhū; ||| “Kassapa, advise the mendicants!
karohi, kassapa, bhikkhūnaṁ dhammiṁ kathaṁ. ||| Give them a Dhamma talk!
Ahaṁ vā, kassapa, bhikkhū ovadeyyaṁ tvaṁ vā; ||| Either you or I should advise the mendicants
ahaṁ vā bhikkhūnaṁ dhammiṁ kathaṁ kareyyaṁ tvaṁ vā”ti. ||| and give them a Dhamma talk.”
“Dubbacā kho, bhante, etarahi bhikkhū, dovacassakaraṇehi dhammehi samannāgatā, akkhamā, appadakkhiṇaggāhino anusāsaniṁ. ||| “Sir, the mendicants these days are hard to admonish, having qualities that make them hard to admonish. They’re impatient, and don’t take instruction respectfully.
Idhāhaṁ, bhante, addasaṁ bhaṇḍañca nāma bhikkhuṁ ānandassa saddhivihāriṁ abhijikañca nāma bhikkhuṁ anuruddhassa saddhivihāriṁ aññamaññaṁ sutena accāvadante: ||| Take the monk named Bhaṇḍa, Ānanda’s protégé. He’s been competing in studies with the monk named Abhiñjika, Anuruddha’s protégé. They say:
‘ehi, bhikkhu, ko bahutaraṁ bhāsissati, ko sundarataraṁ bhāsissati, ko cirataraṁ bhāsissatī’”ti. ||| ‘Come on, monk, who can speak more? Who can speak better? Who can speak longer?’”
Atha kho bhagavā aññataraṁ bhikkhuṁ āmantesi: ||| So the Buddha addressed one of the monks,
“ehi tvaṁ, bhikkhu, mama vacanena bhaṇḍañca bhikkhuṁ ānandassa saddhivihāriṁ abhijikañca bhikkhuṁ anuruddhassa saddhivihāriṁ āmantehi: ||| “Please, monk, in my name tell the monk called Bhaṇḍa, Ānanda’s protégé, and the monk called Abhiñjika, Anuruddha’s protégé that
‘satthā āyasmante āmantetī’”ti. ||| the teacher summons them.”
“Evaṁ, bhante”ti kho so bhikkhu bhagavato paṭissutvā yena te bhikkhū tenupasaṅkami; upasaṅkamitvā te bhikkhū etadavoca: ||| “Yes, sir,” that monk replied. He went to those monks and said,
“satthā āyasmante āmantetī”ti. ||| “Venerables, the teacher summons you.”
“Evamāvuso”ti kho te bhikkhū tassa bhikkhuno paṭissutvā yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdiṁsu. Ekamantaṁ nisinne kho te bhikkhū bhagavā etadavoca: ||| “Yes, reverend,” those monks replied. They went to the Buddha, bowed, and sat down to one side. The Buddha said to them:
“saccaṁ kira tumhe, bhikkhave, aññamaññaṁ sutena accāvadatha: ||| “Is it really true, monks, that you’ve been competing in studies, saying:
‘ehi, bhikkhu, ko bahutaraṁ bhāsissati, ko sundarataraṁ bhāsissati, ko cirataraṁ bhāsissatī’”ti? ||| ‘Come on, monk, who can speak more? Who can speak better? Who can speak longer?’”
“Evaṁ, bhante”. ||| “Yes, sir.”
“Kiṁ nu kho me tumhe, bhikkhave, evaṁ dhammaṁ desitaṁ ājānātha: ||| “Have you ever known me to teach the Dhamma like this:
