Saṁyutta Nikāya 7.21 ||| Linked Discourses 7.21
2. Upāsakavagga ||| 2. Lay Followers
Saṅgāravasutta ||| With Saṅgārava
Sāvatthinidānaṁ. ||| At Sāvatthī.
Tena kho pana samayena saṅgāravo nāma brāhmaṇo sāvatthiyaṁ paṭivasati udakasuddhiko, udakena parisuddhiṁ pacceti, sāyaṁ pātaṁ udakorohanānuyogamanuyutto viharati. ||| Now at that time there was a brahmin named Saṅgārava staying in Sāvatthī. He practiced purification by water, believing in purification by water. He lived committed to the practice of immersing himself in water at daybreak and dusk.
Atha kho āyasmā ānando pubbaṇhasamayaṁ nivāsetvā pattacīvaramādāya sāvatthiṁ piṇḍāya pāvisi. ||| Then Venerable Ānanda robed up in the morning and, taking his bowl and robe, entered Sāvatthī for alms.
Sāvatthiyaṁ piṇḍāya caritvā pacchābhattaṁ piṇḍapātapaṭikkanto yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho āyasmā ānando bhagavantaṁ etadavoca: ||| He wandered for alms in Sāvatthī. After the meal, on his return from almsround, he went to the Buddha, bowed, sat down to one side, and said to him,
“idha, bhante, saṅgāravo nāma brāhmaṇo sāvatthiyaṁ paṭivasati udakasuddhiko, udakena suddhiṁ pacceti, sāyaṁ pātaṁ udakorohanānuyogamanuyutto viharati. ||| “Sir, there is a brahmin named Saṅgārava staying in Sāvatthī. He practices purification by water, believing in purification by water. He lives devoted to ritual bathing at daybreak and dusk.
Sādhu, bhante, bhagavā yena saṅgāravassa brāhmaṇassa nivesanaṁ tenupasaṅkamatu anukampaṁ upādāyā”ti. ||| Please visit him at his home out of sympathy.”
Adhivāsesi bhagavā tuṇhībhāvena. ||| The Buddha consented with silence.
Atha kho bhagavā pubbaṇhasamayaṁ nivāsetvā pattacīvaramādāya yena saṅgāravassa brāhmaṇassa nivesanaṁ tenupasaṅkami; upasaṅkamitvā paññatte āsane nisīdi. ||| Then the Buddha robed up in the morning and, taking his bowl and robe, went to the home of the brahmin Saṅgārava, and sat down on the seat spread out.
Atha kho saṅgāravo brāhmaṇo yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavatā saddhiṁ sammodi. ||| Then the brahmin Saṅgārava went up to the Buddha, and exchanged greetings with him.
Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ nisinnaṁ kho saṅgāravaṁ brāhmaṇaṁ bhagavā etadavoca: ||| When the greetings and polite conversation were over, he sat down to one side. The Buddha said to him,
“saccaṁ kira tvaṁ, brāhmaṇa, udakasuddhiko, udakena suddhiṁ paccesi, sāyaṁ pātaṁ udakorohanānuyogamanuyutto viharasī”ti? ||| “Is it really true, brahmin, that you practice purification by water, believing in purification by water; that you live committed to the practice of immersing yourself in water at daybreak and dusk?”
“Evaṁ, bho gotama”. ||| “Yes, worthy Gotama.”
“Kiṁ pana tvaṁ, brāhmaṇa, atthavasaṁ sampassamāno udakasuddhiko, udakasuddhiṁ paccesi, sāyaṁ pātaṁ udakorohanānuyogamanuyutto viharasī”ti? ||| “But brahmin, for what reason do you practice purification by water?”
“Idha me, bho gotama, yaṁ divā pāpakammaṁ kataṁ hoti, taṁ sāyaṁ nhānena pavāhemi, yaṁ rattiṁ pāpakammaṁ kataṁ hoti taṁ pātaṁ nhānena pavāhemi. ||| “It’s because, Mister Gotama, whatever bad deeds I’ve done during the day I rinse off by bathing at dusk; and whatever bad deeds I’ve done during the night, I rinse off by bathing at dawn.
Imaṁ khvāhaṁ, bho gotama, atthavasaṁ sampassamāno udakasuddhiko, udakena suddhiṁ paccemi, sāyaṁ pātaṁ udakorohanānuyogamanuyutto viharāmī”ti. ||| That’s the reason why I practice purification by water.”
“Dhammo rahado brāhmaṇa sīlatittho, ||| “The teaching is a lake, brahmin, <j>into which ethics are the stairs,
Anāvilo sabbhi sataṁ pasattho; ||| unclouded, praised by the fine to the good.
Yattha have vedaguno sinātā, ||| There the knowledge masters go to bathe,
Anallagattāva taranti pāran”ti. ||| and cross to the far shore with dry limbs.”
Evaṁ vutte, saṅgāravo brāhmaṇo bhagavantaṁ etadavoca: ||| When he had spoken, Saṅgārava said to the Buddha,
“abhikkantaṁ, bho gotama, abhikkantaṁ, bho gotama …pe… ||| “Excellent, worthy Gotama! Excellent! …
upāsakaṁ maṁ bhavaṁ gotamo dhāretu ajjatagge pāṇupetaṁ saraṇaṁ gatan”ti. ||| From this day forth, may the worthy Gotama remember me as a lay follower who has gone for refuge for life.”
