Saṁyutta Nikāya 12.56 ||| Linked Discourses 12.56
6. Dukkhavagga ||| 6. A Tree
Dutiyamahārukkhasutta ||| A Great Tree (2nd)
Sāvatthiyaṁ viharati. ||| At Sāvatthī.
“Seyyathāpi, bhikkhave, mahārukkho. ||| “Mendicants, suppose there was a great tree.
Tassa yāni ceva mūlāni adhogamāni, yāni ca tiriyaṅgamāni, sabbāni tāni uddhaṁ ojaṁ abhiharanti. ||| And its roots going downwards and across all draw the sap upwards.
Evañhi so, bhikkhave, mahārukkho tadāhāro tadupādāno ciraṁ dīghamaddhānaṁ tiṭṭheyya. ||| Fed and fuelled by that, the great tree would stand for a long time.
Evameva kho, bhikkhave, upādāniyesu dhammesu assādānupassino viharato taṇhā pavaḍḍhati. ||| In the same way, there are things that fuel grasping. When you concentrate on the gratification provided by these things, your craving grows.
Taṇhāpaccayā upādānaṁ …pe… ||| Craving is a requirement for grasping. …
evametassa kevalassa dukkhakkhandhassa samudayo hoti. ||| That is how this entire mass of suffering originates.
Seyyathāpi, bhikkhave, mahārukkho. ||| Suppose there was a great tree.
Atha puriso āgaccheyya kuddālapiṭakaṁ ādāya. ||| Then a person comes along with a spade and basket.
So taṁ rukkhaṁ mūle chindeyya, mūle chetvā palikhaṇeyya, palikhaṇitvā mūlāni uddhareyya …pe… ||| They’d cut the tree down at the roots, dig them up, and pull them out, down to the fibers and stems.
nadiyā vā sīghasotāya pavāheyya. ||| They’d cut the tree apart, cut up the parts, and chop it into splinters. They’d dry the splinters in the wind and sun, burn them with fire, and reduce them to ashes. Then they’d winnow the ashes in a strong wind, or glide them down a swift stream.
Evañhi so, bhikkhave, mahārukkho ucchinnamūlo assa tālāvatthukato anabhāvaṅkato āyatiṁ anuppādadhammo. ||| In this way the great tree is cut off at the root, made like a palm stump, obliterated, and unable to arise in the future.
Evameva kho, bhikkhave, upādāniyesu dhammesu ādīnavānupassino viharato taṇhā nirujjhati. ||| In the same way, there are things that fuel grasping. When you concentrate on the drawbacks of these things, your craving ceases.
Taṇhānirodhā upādānanirodho …pe… ||| When craving ceases, grasping ceases. …
evametassa kevalassa dukkhakkhandhassa nirodho hotī”ti. ||| That is how this entire mass of suffering ceases.”
Chaṭṭhaṁ.
