Saṁyutta Nikāya 46.46 ||| Linked Discourses 46.46
5. Cakkavattivagga ||| 5. A Wheel-Turning Monarch
Daliddasutta ||| Poor
“‘Daliddo, daliddo’ti, bhante, vuccati. ||| “Sir, they speak of someone who is ‘poor’.
Kittāvatā nu kho, bhante, ‘daliddo’ti vuccatī”ti? ||| How is a poor person defined?”
“Sattannaṁ kho, bhikkhu, bojjhaṅgānaṁ abhāvitattā abahulīkatattā ‘daliddo’ti vuccati. ||| “Mendicant, they’re called poor because they haven’t developed and cultivated the seven awakening factors.
Katamesaṁ sattannaṁ? ||| What seven?
Satisambojjhaṅgassa …pe… upekkhāsambojjhaṅgassa— ||| The awakening factors of mindfulness, investigation of principles, energy, rapture, tranquility, immersion, and equanimity.
imesaṁ kho, bhikkhu, sattannaṁ bojjhaṅgānaṁ abhāvitattā abahulīkatattā ‘daliddo’ti vuccatī”ti. ||| They’re called poor because they haven’t developed and cultivated these seven awakening factors.”
Chaṭṭhaṁ.
