Saṁyutta Nikāya 46.4 ||| Linked Discourses 46.4
1. Pabbatavagga ||| 1. Mountains
Vatthasutta ||| Clothes
Ekaṁ samayaṁ āyasmā sāriputto sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme. ||| At one time Venerable Sāriputta was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.
Tatra kho āyasmā sāriputto bhikkhū āmantesi: ||| There Sāriputta addressed the mendicants:
“āvuso bhikkhavo”ti. ||| “Reverends, mendicants!”
“Āvuso”ti kho te bhikkhū āyasmato sāriputtassa paccassosuṁ. ||| “Reverend,” they replied.
Āyasmā sāriputto etadavoca: ||| Sāriputta said this:
“Sattime, āvuso, bojjhaṅgā. ||| “There are these seven awakening factors.
Katame satta? ||| What seven?
Satisambojjhaṅgo, dhammavicayasambojjhaṅgo, vīriyasambojjhaṅgo, pītisambojjhaṅgo, passaddhisambojjhaṅgo, samādhisambojjhaṅgo, upekkhāsambojjhaṅgo— ||| The awakening factors of mindfulness, investigation of principles, energy, rapture, tranquility, immersion, and equanimity.
ime kho, āvuso, satta bojjhaṅgā. ||| These are the seven awakening factors.
Imesaṁ khvāhaṁ, āvuso, sattannaṁ bojjhaṅgānaṁ yena yena bojjhaṅgena ākaṅkhāmi pubbaṇhasamayaṁ viharituṁ, tena tena bojjhaṅgena pubbaṇhasamayaṁ viharāmi; ||| In the morning, I meditate on whichever of these seven awakening factors I want.
yena yena bojjhaṅgena ākaṅkhāmi majjhanhikaṁ samayaṁ viharituṁ, tena tena bojjhaṅgena majjhanhikaṁ samayaṁ viharāmi; ||| At midday,
yena yena bojjhaṅgena ākaṅkhāmi sāyanhasamayaṁ viharituṁ, tena tena bojjhaṅgena sāyanhasamayaṁ viharāmi. ||| and in the evening, I meditate on whichever of these seven awakening factors I want.
Satisambojjhaṅgo iti ce me, āvuso, hoti, ‘appamāṇo’ti me hoti, ‘susamāraddho’ti me hoti, tiṭṭhantañca naṁ ‘tiṭṭhatī’ti pajānāmi. ||| If it’s the awakening factor of mindfulness, I know that it’s limitless and that it’s properly implemented. While it remains I understand that it remains.
Sacepi me cavati, ‘idappaccayā me cavatī’ti pajānāmi …pe… ||| And if it subsides in me I understand the specific reason it subsides. …
upekkhāsambojjhaṅgo iti ce me, āvuso, hoti, ‘appamāṇo’ti me hoti, ‘susamāraddho’ti me hoti, tiṭṭhantañca naṁ ‘tiṭṭhatī’ti pajānāmi. ||| If it’s the awakening factor of equanimity, I know that it’s limitless and that it’s properly implemented. While it remains I understand that it remains.
Sacepi me cavati, ‘idappaccayā me cavatī’ti pajānāmi. ||| And if it subsides I understand the specific reason it subsides.
Seyyathāpi, āvuso, rañño vā rājamahāmattassa vā nānārattānaṁ dussānaṁ dussakaraṇḍako pūro assa. ||| Suppose that a ruler or their chief minister had a chest full of garments of different colors.
So yaññadeva dussayugaṁ ākaṅkheyya pubbaṇhasamayaṁ pārupituṁ, taṁ tadeva dussayugaṁ pubbaṇhasamayaṁ pārupeyya; ||| In the morning, they’d don whatever pair of garments they wanted.
yaññadeva dussayugaṁ ākaṅkheyya majjhanhikaṁ samayaṁ pārupituṁ, taṁ tadeva dussayugaṁ majjhanhikaṁ samayaṁ pārupeyya; ||| At midday,
yaññadeva dussayugaṁ ākaṅkheyya sāyanhasamayaṁ pārupituṁ, taṁ tadeva dussayugaṁ sāyanhasamayaṁ pārupeyya. ||| and in the evening, they’d don whatever pair of garments they wanted.
Evameva khvāhaṁ, āvuso, imesaṁ sattannaṁ bojjhaṅgānaṁ yena yena bojjhaṅgena ākaṅkhāmi pubbaṇhasamayaṁ viharituṁ, tena tena bojjhaṅgena pubbaṇhasamayaṁ viharāmi; ||| In the same way, in the morning,
yena yena bojjhaṅgena ākaṅkhāmi majjhanhikaṁ samayaṁ viharituṁ, tena tena bojjhaṅgena majjhanhikaṁ samayaṁ viharāmi; ||| at midday,
yena yena bojjhaṅgena ākaṅkhāmi sāyanhasamayaṁ viharituṁ, tena tena bojjhaṅgena sāyanhasamayaṁ viharāmi. ||| and in the evening, I meditate on whichever of these seven awakening factors I want.
Satisambojjhaṅgo iti ce me, āvuso, hoti, ‘appamāṇo’ti me hoti, ‘susamāraddho’ti me hoti, tiṭṭhantañca naṁ ‘tiṭṭhatī’ti pajānāmi. ||| If it’s the awakening factor of mindfulness, I know that it’s limitless and that it’s properly implemented. While it remains I understand that it remains.
Sacepi me cavati, ‘idappaccayā me cavatī’ti pajānāmi …pe… ||| And if it subsides I understand the specific reason it subsides. …
upekkhāsambojjhaṅgo iti ce me, āvuso, hoti, ‘appamāṇo’ti me hoti, ‘susamāraddho’ti me hoti, tiṭṭhantañca naṁ ‘tiṭṭhatī’ti pajānāmi. ||| If it’s the awakening factor of equanimity, I know that it’s limitless and that it’s properly implemented. While it remains I understand that it remains.
Sacepi me cavati, ‘idappaccayā me cavatī’ti pajānāmī”ti. ||| And if it subsides I understand the specific reason it subsides.”
Catutthaṁ.
