Saṁyutta Nikāya 15.14 ||| Linked Discourses 15.14
2. Dutiyavagga ||| Chapter Two
Mātusutta ||| Mother
Sāvatthiyaṁ viharati. ||| At Sāvatthī.
“Anamataggoyaṁ, bhikkhave, saṁsāro …pe… ||| “Mendicants, this transmigration has no known beginning. …
na so, bhikkhave, satto sulabharūpo yo namātābhūtapubbo iminā dīghena addhunā. ||| It’s not easy to find a sentient being who in all this long time has not previously been your mother.
Taṁ kissa hetu? ||| Why is that?
Anamataggoyaṁ, bhikkhave, saṁsāro …pe… ||| This transmigration has no known beginning. …
alaṁ vimuccitun”ti. ||| This is quite enough for you to become disillusioned, dispassionate, and freed regarding all conditions.”
Catutthaṁ.
