Saṁyutta Nikāya 22.108 ||| Linked Discourses 22.108
11. Antavagga ||| 11. Ends
Dutiyasamaṇasutta ||| Ascetics (2nd)
Sāvatthinidānaṁ. ||| At Sāvatthī.
“Pañcime, bhikkhave, upādānakkhandhā. ||| “Mendicants, there are these five grasping aggregates.
Katame pañca? ||| What five?
Seyyathidaṁ—rūpupādānakkhandho, vedanupādānakkhandho, saññupādānakkhandho, saṅkhārupādānakkhandho, viññāṇupādānakkhandho. ||| That is, the grasping aggregates of form, feeling, perception, choices, and consciousness.
Ye hi keci, bhikkhave, samaṇā vā brāhmaṇā vā imesaṁ pañcannaṁ upādānakkhandhānaṁ samudayañca atthaṅgamañca assādañca ādīnavañca nissaraṇañca yathābhūtaṁ nappajānanti …pe… ||| There are ascetics and brahmins who don’t truly understand these five grasping aggregates’ origin, disappearance, gratification, drawback, and escape … Those venerables don’t realize the goal of life as an ascetic or brahmin …
pajānanti, sayaṁ abhiññā sacchikatvā upasampajja viharantī”ti. ||| There are ascetics and brahmins who do truly understand … Those venerables realize the goal of life as an ascetic or brahmin, and live having realized it with their own insight.”
Chaṭṭhaṁ.
