Saṁyutta Nikāya 47.18 ||| Linked Discourses 47.18
2. Nālandavagga ||| 2. At Nāḷandā
Brahmasutta ||| Divinity
Ekaṁ samayaṁ bhagavā uruvelāyaṁ viharati najjā nerañjarāya tīre ajapālanigrodhe paṭhamābhisambuddho. ||| At one time, when he was first awakened, the Buddha was staying in Uruvelā at the goatherd’s banyan tree on the bank of the Nerañjarā River.
Atha kho bhagavato rahogatassa paṭisallīnassa evaṁ cetaso parivitakko udapādi: ||| Then as he was in private retreat this thought came to his mind,
“ekāyanvāyaṁ maggo sattānaṁ visuddhiyā sokaparidevānaṁ samatikkamāya dukkhadomanassānaṁ atthaṅgamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yadidaṁ—cattāro satipaṭṭhānā. ||| “The four kinds of mindfulness meditation are the path to convergence. They are in order to purify sentient beings, to get past sorrow and crying, to make an end of pain and sadness, to discover the system, and to realize extinguishment.
Katame cattāro? ||| What four?
Kāye vā bhikkhu kāyānupassī vihareyya ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ; ||| A mendicant would meditate observing an aspect of the body—keen, aware, and mindful, rid of covetousness and displeasure for the world.
vedanāsu vā bhikkhu …pe… ||| Or they’d meditate observing an aspect of feelings …
citte vā bhikkhu …pe… ||| or mind …
dhammesu vā bhikkhu dhammānupassī vihareyya ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| or principles—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Ekāyanvāyaṁ maggo sattānaṁ visuddhiyā sokaparidevānaṁ samatikkamāya dukkhadomanassānaṁ atthaṅgamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yadidaṁ—cattāro satipaṭṭhānā”ti. ||| The four kinds of mindfulness meditation are the path to convergence. They are in order to purify sentient beings, to get past sorrow and crying, to make an end of pain and sadness, to discover the system, and to realize extinguishment.”
Atha kho brahmā sahampati bhagavato cetasā cetoparivitakkamaññāya—seyyathāpi nāma balavā puriso samiñjitaṁ vā bāhaṁ pasāreyya, pasāritaṁ vā bāhaṁ samiñjeyya; evameva kho brahmaloke antarahito bhagavato purato pāturahosi. ||| Then the divinity Sahampati knew the Buddha’s train of thought. As easily as a strong person would extend or contract their arm, he vanished from the realm of divinity and reappeared in front of the Buddha.
Atha kho brahmā sahampati ekaṁsaṁ uttarāsaṅgaṁ karitvā yena bhagavā tenañjaliṁ paṇāmetvā bhagavantaṁ etadavoca: ||| He arranged his robe over one shoulder, raised his cupped palms toward the Buddha, and said:
“evametaṁ, bhagavā, evametaṁ, sugata. ||| “That’s so true, Blessed One! That’s so true, Holy One!
Ekāyanvāyaṁ, bhante, maggo sattānaṁ visuddhiyā sokaparidevānaṁ samatikkamāya dukkhadomanassānaṁ atthaṅgamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yadidaṁ—cattāro satipaṭṭhānā. ||| Sir, the four kinds of mindfulness meditation are the path to convergence. They are in order to purify sentient beings, to get past sorrow and crying, to make an end of pain and sadness, to discover the system, and to realize extinguishment.
Katame cattāro? ||| What four?
Kāye vā, bhante, bhikkhu kāyānupassī vihareyya ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ; ||| A mendicant would meditate observing an aspect of the body—keen, aware, and mindful, rid of covetousness and displeasure for the world.
vedanāsu vā, bhante, bhikkhu …pe… ||| Or they’d meditate observing an aspect of feelings …
citte vā, bhante, bhikkhu …pe… ||| or mind …
dhammesu vā, bhante, bhikkhu dhammānupassī vihareyya ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| or principles—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Ekāyanvāyaṁ, bhante, maggo sattānaṁ visuddhiyā sokaparidevānaṁ samatikkamāya dukkhadomanassānaṁ atthaṅgamāya ñāyassa adhigamāya nibbānassa sacchikiriyāya, yadidaṁ—cattāro satipaṭṭhānā”ti. ||| The four kinds of mindfulness meditation are the path to convergence. They are in order to purify sentient beings, to get past sorrow and crying, to make an end of pain and sadness, to discover the system, and to realize extinguishment.”
Idamavoca brahmā sahampati. ||| That’s what the divinity Sahampati said.
Idaṁ vatvā athāparaṁ etadavoca: ||| Then he went on to say:
“Ekāyanaṁ jātikhayantadassī, ||| “The compassionate one, <j>who sees the ending of rebirth,
Maggaṁ pajānāti hitānukampī; ||| understands the path to convergence.
Etena maggena tariṁsu pubbe, ||| By this path people crossed over before,
Tarissanti ye ca taranti oghan”ti. ||| will cross, and are crossing.”
Aṭṭhamaṁ.
