Saṁyutta Nikāya 34.1 ||| Linked Discourses 34.1
1. Jhānavagga ||| 1. Absorption
Samādhimūlakasamāpattisutta ||| Entering Immersion
Sāvatthinidānaṁ. ||| At Sāvatthī.
“Cattārome, bhikkhave, jhāyī. ||| “Mendicants, there are these four meditators.
Katame cattāro? ||| What four?
Idha, bhikkhave, ekacco jhāyī samādhismiṁ samādhikusalo hoti, na samādhismiṁ samāpattikusalo. ||| One meditator is skilled in immersion but not in entering it.
Idha pana, bhikkhave, ekacco jhāyī samādhismiṁ samāpattikusalo hoti, na samādhismiṁ samādhikusalo. ||| One meditator is not skilled in immersion but is skilled in entering it.
Idha pana, bhikkhave, ekacco jhāyī neva samādhismiṁ samādhikusalo hoti, na ca samādhismiṁ samāpattikusalo. ||| One meditator is skilled neither in immersion nor in entering it.
Idha pana, bhikkhave, ekacco jhāyī samādhismiṁ samādhikusalo ca hoti, samādhismiṁ samāpattikusalo ca. ||| One meditator is skilled both in immersion and in entering it.
Tatra, bhikkhave, yvāyaṁ jhāyī samādhismiṁ samādhikusalo ca hoti samādhismiṁ samāpattikusalo ca ayaṁ imesaṁ catunnaṁ jhāyīnaṁ aggo ca seṭṭho ca mokkho ca uttamo ca pavaro ca. ||| Of these, the meditator skilled in immersion and in entering it is the foremost, best, chief, highest, and finest of the four.
Seyyathāpi, bhikkhave, gavā khīraṁ, khīramhā dadhi, dadhimhā navanītaṁ, navanītamhā sappi, sappimhā sappimaṇḍo tatra aggamakkhāyati; ||| From a cow comes milk, from milk comes curds, from curds come butter, from butter comes ghee, and from ghee comes cream of ghee. And the cream of ghee is said to be the best of these.
evameva kho, bhikkhave, yvāyaṁ jhāyī samādhismiṁ samādhikusalo ca hoti samādhismiṁ samāpattikusalo ca ayaṁ imesaṁ catunnaṁ jhāyīnaṁ aggo ca seṭṭho ca mokkho ca uttamo ca pavaro cā”ti. ||| In the same way, the meditator skilled in immersion and entering it is the foremost, best, leading, highest, and finest of the four.”
Paṭhamaṁ.
