Saṁyutta Nikāya 28.2 ||| Linked Discourses 28.2
1. Sāriputtavagga ||| 1. With Sāriputta
Avitakkasutta ||| Without Placing the Mind
Sāvatthinidānaṁ. ||| At Sāvatthī.
Addasā kho āyasmā ānando …pe… āyasmantaṁ sāriputtaṁ etadavoca: ||| Venerable Ānanda saw Venerable Sāriputta and said to him:
“vippasannāni kho te, āvuso sāriputta, indriyāni; parisuddho mukhavaṇṇo pariyodāto. ||| “Reverend Sāriputta, your faculties are so very clear, and your complexion is pure and bright.
Katamenāyasmā sāriputto ajja vihārena vihāsī”ti? ||| What meditation were you practicing today?”
“Idhāhaṁ, āvuso, vitakkavicārānaṁ vūpasamā ajjhattaṁ sampasādanaṁ cetaso ekodibhāvaṁ avitakkaṁ avicāraṁ samādhijaṁ pītisukhaṁ dutiyaṁ jhānaṁ upasampajja viharāmi. ||| “Reverend, as the placing of the mind and keeping it connected were stilled, I entered and remained in the second absorption, which has the rapture and bliss born of immersion, with internal clarity and mind at one, without placing the mind and keeping it connected.
Tassa mayhaṁ, āvuso, na evaṁ hoti: ||| But it didn’t occur to me:
‘ahaṁ dutiyaṁ jhānaṁ samāpajjāmī’ti vā ‘ahaṁ dutiyaṁ jhānaṁ samāpanno’ti vā ‘ahaṁ dutiyā jhānā vuṭṭhito’ti vā”ti. ||| ‘I am entering the second absorption’ or ‘I have entered the second absorption’ or ‘I am emerging from the second absorption’.”
Tathā hi panāyasmato sāriputtassa dīgharattaṁ ahaṅkāramamaṅkāramānānusayā susamūhatā. ||| “That must be because Venerable Sāriputta has long ago totally eradicated I-making, mine-making, and the underlying tendency to conceit.
Tasmā āyasmato sāriputtassa na evaṁ hoti: ||| That’s why it didn’t occur to you:
“‘ahaṁ dutiyaṁ jhānaṁ samāpajjāmī’ti vā ‘ahaṁ dutiyaṁ jhānaṁ samāpanno’ti vā ‘ahaṁ dutiyā jhānā vuṭṭhito’ti vā”ti. ||| ‘I am entering the second absorption’ or ‘I have entered the second absorption’ or ‘I am emerging from the second absorption’.”
Dutiyaṁ.
