Saṁyutta Nikāya 46.6 ||| Linked Discourses 46.6
1. Pabbatavagga ||| 1. Mountains
Kuṇḍaliyasutta ||| Kuṇḍaliya
Ekaṁ samayaṁ bhagavā sākete viharati añjanavane migadāye. ||| At one time the Buddha was staying near Sāketa in the deer park at the Añjana Wood.
Atha kho kuṇḍaliyo paribbājako yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavatā saddhiṁ sammodi. ||| Then the wanderer Kuṇḍaliya went up to the Buddha, and exchanged greetings with him.
Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho kuṇḍaliyo paribbājako bhagavantaṁ etadavoca: ||| When the greetings and polite conversation were over, he sat down to one side and said to the Buddha:
“ahamasmi, bho gotama, ārāmanissayī parisāvacaro. ||| “Worthy Gotama, I like to hang around the monasteries and visit the assemblies.
Tassa mayhaṁ, bho gotama, pacchābhattaṁ bhuttapātarāsassa ayamācāro hoti— ||| When I’ve finished breakfast, it’s my habit to
ārāmena ārāmaṁ uyyānena uyyānaṁ anucaṅkamāmi anuvicarāmi. ||| wander from monastery to monastery, from park to park.
So tattha passāmi eke samaṇabrāhmaṇe itivādappamokkhānisaṁsañceva kathaṁ kathente upārambhānisaṁsañca: ||| There I see some ascetics and brahmins speaking for the sake of winning debates and finding fault.
‘bhavaṁ pana gotamo kimānisaṁso viharatī’”ti? ||| But what benefit does the worthy Gotama live for?”
“Vijjāvimuttiphalānisaṁso kho, kuṇḍaliya, tathāgato viharatī”ti. ||| “The benefit the Realized One lives for, Kuṇḍaliya, is the fruit of knowledge and freedom.”
“Katame pana, bho gotama, dhammā bhāvitā bahulīkatā vijjāvimuttiṁ paripūrentī”ti? ||| “But what things must be developed and cultivated in order to fulfill knowledge and freedom?”
“Satta kho, kuṇḍaliya, bojjhaṅgā bhāvitā bahulīkatā vijjāvimuttiṁ paripūrentī”ti. ||| “The seven awakening factors.”
“Katame pana, bho gotama, dhammā bhāvitā bahulīkatā satta bojjhaṅge paripūrentī”ti? ||| “But what things must be developed and cultivated in order to fulfill the seven awakening factors?”
“Cattāro kho, kuṇḍaliya, satipaṭṭhānā bhāvitā bahulīkatā satta bojjhaṅge paripūrentī”ti. ||| “The four kinds of mindfulness meditation.”
“Katame pana, bho gotama, dhammā bhāvitā, bahulīkatā cattāro satipaṭṭhāne paripūrentī”ti? ||| “But what things must be developed and cultivated in order to fulfill the four kinds of mindfulness meditation?”
“Tīṇi kho, kuṇḍaliya, sucaritāni bhāvitāni bahulīkatāni cattāro satipaṭṭhāne paripūrentī”ti. ||| “The three kinds of good conduct.”
“Katame pana, bho gotama, dhammā bhāvitā bahulīkatā tīṇi sucaritāni paripūrentī”ti? ||| “But what things must be developed and cultivated in order to fulfill the three kinds of good conduct?”
“Indriyasaṁvaro kho, kuṇḍaliya, bhāvito bahulīkato tīṇi sucaritāni paripūretīti. ||| “Sense restraint.
Kathaṁ bhāvito ca, kuṇḍaliya, indriyasaṁvaro kathaṁ bahulīkato tīṇi sucaritāni paripūretīti? ||| And Kuṇḍaliya, how is sense restraint developed and cultivated so as to fulfill the three kinds of good conduct?
Idha, kuṇḍaliya, bhikkhu cakkhunā rūpaṁ disvā manāpaṁ nābhijjhati nābhihaṁsati, na rāgaṁ janeti. ||| A mendicant sees an agreeable sight with their eye. They don’t desire it or enjoy it, and they don’t give rise to greed.
Tassa ṭhito ca kāyo hoti, ṭhitaṁ cittaṁ ajjhattaṁ susaṇṭhitaṁ suvimuttaṁ. ||| Their mind and body are steady internally, well settled and well freed.
Cakkhunā kho paneva rūpaṁ disvā amanāpaṁ na maṅku hoti appatiṭṭhitacitto adīnamānaso abyāpannacetaso. ||| But if they see a disagreeable sight they’re undismayed, with mind unirritated, spirit undaunted, and heart unangered.
