Saṁyutta Nikāya 48.39 ||| Linked Discourses 48.39
4. Sukhindriyavagga ||| 4. The Pleasure Faculty
Kaṭṭhopamasutta ||| The Simile of the Fire Sticks
“Pañcimāni, bhikkhave, indriyāni. ||| “Mendicants, there are these five faculties.
Katamāni pañca? ||| What five?
Sukhindriyaṁ, dukkhindriyaṁ, somanassindriyaṁ, domanassindriyaṁ, upekkhindriyaṁ. ||| The faculties of pleasure, pain, happiness, sadness, and equanimity.
Sukhavedaniyaṁ, bhikkhave, phassaṁ paṭicca uppajjati sukhindriyaṁ. ||| The faculty of pleasure arises dependent on a contact to be experienced as pleasant.
So sukhitova samāno ‘sukhitosmī’ti pajānāti. ||| When in a state of pleasure, you understand: ‘I’m in a state of pleasure.’
Tasseva sukhavedaniyassa phassassa nirodhā ‘yaṁ tajjaṁ vedayitaṁ sukhavedaniyaṁ phassaṁ paṭicca uppannaṁ sukhindriyaṁ taṁ nirujjhati, taṁ vūpasammatī’ti pajānāti. ||| With the cessation of that contact to be experienced as pleasant, you understand that the corresponding faculty of pleasure that had arisen ceases and stops.
Dukkhavedaniyaṁ, bhikkhave, phassaṁ paṭicca uppajjati dukkhindriyaṁ. ||| The faculty of pain arises dependent on a contact to be experienced as painful.
So dukkhitova samāno ‘dukkhitosmī’ti pajānāti. ||| When in a state of pain, you understand: ‘I’m in a state of pain.’
Tasseva dukkhavedaniyassa phassassa nirodhā ‘yaṁ tajjaṁ vedayitaṁ dukkhavedaniyaṁ phassaṁ paṭicca uppannaṁ dukkhindriyaṁ taṁ nirujjhati, taṁ vūpasammatī’ti pajānāti. ||| With the cessation of that contact to be experienced as painful, you understand that the corresponding faculty of pain that had arisen ceases and stops.
Somanassavedaniyaṁ, bhikkhave, phassaṁ paṭicca uppajjati somanassindriyaṁ. ||| The faculty of happiness arises dependent on a contact to be experienced as happiness.
So sumanova samāno ‘sumanosmī’ti pajānāti. ||| When in a state of happiness, you understand: ‘I’m in a state of happiness.’
Tasseva somanassavedaniyassa phassassa nirodhā ‘yaṁ tajjaṁ vedayitaṁ somanassavedaniyaṁ phassaṁ paṭicca uppannaṁ somanassindriyaṁ taṁ nirujjhati, taṁ vūpasammatī’ti pajānāti. ||| With the cessation of that contact to be experienced as happiness, you understand that the corresponding faculty of happiness that had arisen ceases and stops.
Domanassavedaniyaṁ, bhikkhave, phassaṁ paṭicca uppajjati domanassindriyaṁ. ||| The faculty of sadness arises dependent on a contact to be experienced as sadness.
So dummanova samāno ‘dummanosmī’ti pajānāti. ||| When in a state of sadness, you understand: ‘I’m in a state of sadness.’
Tasseva domanassavedaniyassa phassassa nirodhā ‘yaṁ tajjaṁ vedayitaṁ domanassavedaniyaṁ phassaṁ paṭicca uppannaṁ domanassindriyaṁ taṁ nirujjhati, taṁ vūpasammatī’ti pajānāti. ||| With the cessation of that contact to be experienced as sadness, you understand that the corresponding faculty of sadness that had arisen ceases and stops.
Upekkhāvedaniyaṁ, bhikkhave, phassaṁ paṭicca uppajjati upekkhindriyaṁ. ||| The faculty of equanimity arises dependent on a contact to be experienced as equanimous.
So upekkhakova samāno ‘upekkhakosmī’ti pajānāti. ||| When in a state of equanimity, you understand: ‘I’m in a state of equanimity.’
Tasseva upekkhāvedaniyassa phassassa nirodhā ‘yaṁ tajjaṁ vedayitaṁ upekkhāvedaniyaṁ phassaṁ paṭicca uppannaṁ upekkhindriyaṁ taṁ nirujjhati, taṁ vūpasammatī’ti pajānāti. ||| With the cessation of that contact to be experienced as equanimous, you understand that the corresponding faculty of equanimity that had arisen ceases and stops.
Seyyathāpi, bhikkhave, dvinnaṁ kaṭṭhānaṁ saṅghaṭṭanasamodhānā usmā jāyati, tejo abhinibbattati; tesaṁyeva kaṭṭhānaṁ nānābhāvāvinikkhepā yā tajjā usmā sā nirujjhati sā vūpasammati; ||| When you rub two sticks together, heat is generated and fire is produced. But when you part the sticks and lay them aside, any corresponding heat ceases and stops.
evameva kho, bhikkhave, sukhavedaniyaṁ phassaṁ paṭicca uppajjati sukhindriyaṁ. ||| In the same way, the faculty of pleasure arises dependent on a contact to be experienced as pleasant.
So sukhitova samāno ‘sukhitosmī’ti pajānāti. ||| When in a state of pleasure, you understand: ‘I’m in a state of pleasure.’
Tasseva sukhavedaniyassa phassassa nirodhā ‘yaṁ tajjaṁ vedayitaṁ sukhavedaniyaṁ phassaṁ paṭicca uppajjati sukhindriyaṁ taṁ nirujjhati, taṁ vūpasammatī’ti pajānāti. ||| With the cessation of that contact to be experienced as pleasant, you understand that the corresponding faculty of pleasure that arises ceases and stops.
Dukkhavedaniyaṁ, bhikkhave, phassaṁ paṭicca …pe… ||| The faculty of pain …
somanassavedaniyaṁ, bhikkhave, phassaṁ paṭicca …pe… ||| happiness …
domanassavedaniyaṁ, bhikkhave, phassaṁ paṭicca …pe… ||| sadness …
upekkhāvedaniyaṁ, bhikkhave, phassaṁ paṭicca uppajjati upekkhindriyaṁ. ||| equanimity arises dependent on a contact to be experienced as equanimous.
So upekkhakova samāno ‘upekkhakosmī’ti pajānāti. ||| When in a state of equanimity, you understand: ‘I’m in a state of equanimity.’
Tasseva upekkhāvedaniyassa phassassa nirodhā ‘yaṁ tajjaṁ vedayitaṁ upekkhāvedaniyaṁ phassaṁ paṭicca uppajjati upekkhindriyaṁ taṁ nirujjhati, taṁ vūpasammatī’ti pajānāti”. ||| With the cessation of that contact to be experienced as equanimous, you understand that the corresponding faculty of equanimity that arises ceases and stops.”
Navamaṁ.
